titles,authors,informs
[단편] 성묘,전성태 저,"한국소설이 지닌 풍요로운 서사와 리얼리티를 계승하면서도 특유의 성실함과 간단없는 자기갱신을 거듭하면서 우리 문단을 대표하는 새얼굴로 자리매김해온 소설가 전성태가 등단 20주년을 맞아 새롭게 펴낸 소설집. 현대문학상 수상작인 「낚시하는 소녀」를 포함해 열두편의 작품이 시간의 심연을 날렵하게 포착해내며 인간의 기억에 녹아들어 있는 사실과 진실, 인지와 망각, 현실과 비현실 등을 추적한다. 「성묘」 직업군인으로 전역한 노인은 군부대 앞에서 구멍가게를 하고 있다. 몇해 전 가게 근처 고추밭 인근에 중국군과 북한군의 적군묘지가 들어선 이후 노인은 자꾸만 그 묘지에 신경이 쓰인다. 그러던 어느날 한 무장공비의 무덤 앞에 흰 국화가 놓인 것을 발견하는데……"
[단편] 실내화 한켤레,권여선 저,"소설가 권여선의 다섯번째 소설집이자 2016 동인문학상 수상작. 이해되지 않는, 그러면서도 쉽사리 잊히지 않는 지난 삶의 불가해한 장면을 잡아채는 선명하고도 서늘한 문장으로 삶의 비의를 그려낸다. 인생이 던지는 지독한 농담이 인간을 벼랑 끝까지 밀어뜨릴 때, 인간은 어떠한 방식으로 그 불행을 견뎌낼 수 있을까. 미세한 균열로도 생은 완전히 부서질 수 있다는 것을 보여주는 데 탁월한 감각을 발휘해온 권여선은 그럼에도 그 비극을 견뎌내는 자들의 숭고함을 가슴 먹먹하게 그려낸다. 「실내화 한 켤레」 시나리오 작가인 경안이 TV에 출연한 덕에 고등학교 때 같은 반이었던 혜련, 선미와 연락이 닿아 그들은 14년 만에 다시 만난다. 그 시절 자연스럽게 멀어졌던 셋은 오랜만에 만나 술을 마시다 우연히 아는 남자와 합세해 경안의 집으로 가게 된다. 그리고 다음 날 아침 비밀스럽게 감춰져 있던 진실이 밝혀진다."
이주원이 읽는 조명희의 낙동강,조명희 저,"[100인의 배우, 우리 문학을 읽다] 오디오북 시리즈는, 최민식 문소리 정진영 강부자 등 우리 시대를 대표하는 배우 103명이 한국 근현대문학의 주요 중단편소설 100편을 낭독한 프로젝트입니다. ≪낙동강≫은 조명희의 대표작으로 ≪조선지광≫ 1927년 7월호에 발표됐다. 한 사회운동가의 파란만장한 생애와 죽음을 줄기로 계급운동의 전개 양상을 큰 규모로 다룸으로써 식민지 조선의 계급운동이 나가야 할 방향을 제시한다. 자연발생적 수준에 머물던 신경향파 문학을 목적의식적인 프로 문학으로 발전시킨 작품으로 평가된다."
발가락이 닮았다,김동인 저,"1932년 1월 ""동광""에 발표된 단편소설로, 자연주의 경향의 작품이지만 강한 휴머니티가 깔려있는 작품"
중간관리자를 위한 안정화 전략,에일린 건 저,"“유리감옥을 깨뜨려라!” SF 소설의 페미니즘 르네상스를 이끌어온 전 세계 여성 작가들의 주옥 같은 작품을 가려 모았다. 오늘날 SF 소설계에서 가장 인정받는 편집팀으로서 여러 상을 수상하기도 한 앤 밴더미어와 제프 밴더미어 부부가 선정하고 구성한 뛰어난 페미니즘 SF 선집이다. 1960년대 작품부터 동시대 작품까지 두루 포함하는 이 선집은 페미니즘 담론의 확장을 추구하는 동시에 상상력 넘치는 풍성한 생각거리로 독자들을 이끈다. 이 걸작선은 SF와 페미니즘의 연관관계를 보여 주는 대담한 사례들을 모았다. 조안나 러스의 고전 <그들이 돌아온다 해도>에서부터 에일린 건의 <중간관리자를 위한 안정화 전략> 같은 풍자적인 작품까지, 이 영역의 작업들이 가지는 강렬한 집중도를 드러낸다. 캐서린 M. 밸런트와 같은 주목받는 작가들과 함께 반다나 싱, 히로미 고토와 같은 전 세계 작가들의 작품을 포함한 이 선집은 페미니즘의 다양한 목소리들을 담아낸다. 이 선집은 동시대 소설과 페미니즘의 두 측면에서 새로운 전선들로 사고를 확장한다. 환상적인 작품에서 미래지향적 작품으로, 신비로운 작품에서 초현실적인 작품으로 옮겨가는 이야기들은 지금 우리가 접할 수 있는 어떤 책과도 다른 페미니즘을 향한 생각들과 감정들을 불러일으킨다. “SF 소설이 가진 남다른 정치적 힘을 보여주는 꼭 필요한, 잘 가려 뽑은 선집.” - <커커스 리뷰> “여기 수록된 이야기들은 우리가 원했던 바로 그 일을 해낸다. 진부한 설정들을 찢어발기고, 젠더와 그 함의에 의문을 던지고, 풍자와 유머와 사회적 징후와 규정들에 대한 날카로운 지적 분석을 동반한 의도적 무지를 이용하여 정체성을 들여다본다.” - 마베쉬 무라드, <토르닷컴> “지난 수십 년간 여성 SF 작가들이 이룬 가장 빛나는 성과들을 엮은 다채롭고 놀라운 선집이다.” - 앤드류 앤드류스, ‘truereviewonline.com’ “저자들은 모두 페미니스트이며 SF 소설 혁명의 자매들이다. 그러므로 그들의 역할은 가능한 세계와 존재의 방식들을 탐험하는 것이며, 그려진 시나리오들로부터 각자의 교훈을 끌어내는 것은 독자들의 몫이다.” - 에리카 스미스, <피스 뉴스> “페미니스트든 아니든 SF 소설 팬이라면 누구나 반드시 읽어야 할 필독서이며, 이런저런 여성학 관련 학습과정을 짤 때 활용할 수 있는 흥미로운 텍스트가 될 것이다.” - 다이앤 칸스, ‘worldliteraturetoday.org’ “이 매혹적인 선집은 뉴웨이브 SF와 페미니즘 사변소설계의 경향들이 어떻게 여성과 페미니즘에 관한 문화와 관점의 변화들을 반영하고 있는지 보여준다.” - 바네사 부시, <북리스트> “이 책에 실린 작품들은 모두 여성들이 세계와 맺고 있는 관계의 양상들을 탐구한다. 이 작품들은 사회적 역할과 성역할, 성별, 연애 관계, 일과의 관계에 주목한다.” - 일레인 갤러퍼, <인터존> “이 책은 우리 모두가 연루돼 있는 장르와 젠더, 문화와 맥락에 관한 논의에서 빠질 수 없는 강력하고도 귀중한 선집이다.” - 캐리 스페링, <스트레인지호라이즌닷컴> “밴더미어 부부가 페미니즘 면에서든 다른 어떤 면에서든 근래 들어 최고의 SF 선집이라 할 만한 걸 엮어냈다.” - 일리저베스 핸드, <로스앤젤레스 타임즈> “주제에 맞게 배열된 작품들은 각각의 작품을 가장 선명하게 조명해내는 도발적이고 극적인 배치를 통해 서로 흘러들고 또 서로 반발한다.” - 《퍼블리셔스 위클리》 “편집자들은 이 선집을 얻기 위해 넓게 멀리까지 작품들을 뒤졌다. 다양한 SF의 향연. 장르와 정치적 성향을 떠나 이 책은 훌륭한 선집이다.” - 키스 브룩, 《가디언》 “이 ‘고도로 잘 정돈된’ 페미니즘 SF 선집에는 분명하게 밴더미어 부부의 도장이 찍혀 있다. 이 선집은 호러와 판타지를 포함한 사변소설의 모든 장르를 아우를 뿐만 아니라 이런 주제의 선집에 대한 모두의 기대를 뛰어넘으며 상당한 분량의 초현실적이고 기괴한 작품들까지 선보인다.” - 귀네스 존스, 《뉴욕 SF 리뷰》"
이익상의 광란,이익상 저,"20대 후반의 남자 영순은 작은 회사를 다니며 간신히 한 달 생활비를 벌어 먹고 사는 비루한 인생이다. 어느 날, 더럽고 탁한 청계천을 바라보며 상념에 접어든 영순은 조금씩 미쳐가기 시작하는데..... 이익상의 대표 단편소설 <광란>을 현대적 해석에 맞춰 재구성한 작품이다."
안재욱이 읽는 유항림의 마권,유향림 저,"[100인의 배우, 우리 문학을 읽다] 오디오북 시리즈는, 최민식 문소리 정진영 강부자 등 우리 시대를 대표하는 배우 103명이 한국 근현대문학의 주요 중단편소설 100편을 낭독한 프로젝트입니다. ≪마권≫은 평양의 모더니스트 그룹 ‘단층’의 동인으로 활동한 유항림이 1937년 동인지에 발표한 단편소설이다. 방황하는 지식인과 안주하는 지식인을 등장시켜 1930년대 후반 일제 군국주의의 물결에 휩쓸린 조선 청년들의 정신적 갈등과 지식인 사회의 나약함을 자기비판한다. 작가 자신의 경험이 녹아든 자전적 성격이 강한 작품이다."
[요약] 병신과 머저리,이청준 저,"『병신과 머저리』는 작가에게 1966년도 동인문학상을 안겨준 작품으로 실질적인 그의 출세작이라 할 수 있다. 이 소설은 이청준에게 매우 중요한 작품인데, 요컨대 그것은 작가의 초기세계를 대변하는 인물과 후기세계를 대변하는 인물 간의 대립이 아주 섬세하게 그려져 있기 때문이다. 아울러 이 작품은 소설에서 지적인 재미를 추구하려는 이청준의 작가적 특성이 잘 나타나고 있다."
이지하가 읽는 이제하의 유자약전,이제하 저,"[100인의 배우, 우리 문학을 읽다] 오디오북 시리즈는, 최민식 문소리 정진영 강부자 등 우리 시대를 대표하는 배우 103명이 한국 근현대문학의 주요 중단편소설 100편을 낭독한 프로젝트입니다. ≪유자약전≫은 1969년 ≪현대문학≫에 발표한 이제하의 단편소설이다. 제목처럼 ‘유자’라는 한 여성화가의 짧은 일대기를 통해 물신성이 지배하는 현실에서 예술가의 존재 의미를 묻는 작품이다."
최서해의 탈출기,최서해 저,"20대 초반의 박군은 아내와 어머니를 데리고 간도로 이주를 간 남자다. 힘겨운 생활을 이어가던 중, 박군은 가족을 남겨둔 채 집을 나와 사회운동을 시작하게 되는데..... 최서해의 대표 단편소설 <탈출기>를 현대적 해석에 맞춰 재구성한 작품이다."
강애심이 읽는 마르그리트 유르스나르의 왕포는 어떻게 구원되었나,마르그리트 유르스나르 저,"왕포는 어떻게 구원되었나 (Comment Wang-Fô fut sauvé) 프랑스 소설이지만, 중국 도쿄 우화에서 영감을 받아 중국 한나라를 배경으로 한 신비로운 분위기의 이야기다. 제자 링과 함께 떠돌아다니던 화가 왕포는 어느 날 황제가 사는 궁궐로 잡혀가고, 황제는 왕포 눈을 불로 지지고 두손을 잘라버리라고 명령한다. 도대체 무슨 죄를 지었기에 황제는 그런끔찍한 벌을 내리는 걸까?"
쥘르삼촌,기 드 모파상 저,"다브랑쉬 가족은 가난하지만, 미국으로 돈을 벌러 간 쥘르 삼촌에 대한 희망을 안고 살아갑니다. 기 드 모파상의 단편소설"
윤상화가 읽는 윤정모의 밤길,윤정모 저,"[100인의 배우, 우리 문학을 읽다] 오디오북 시리즈는, 최민식 문소리 정진영 강부자 등 우리 시대를 대표하는 배우 103명이 한국 근현대문학의 주요 중단편소설 100편을 낭독한 프로젝트입니다. ≪밤길≫은 1985년 ≪창작과비평≫에 발표된 윤정모의 단편으로 우리 문학에서 소설로서 광주민주화운동을 최초로 다룬 작품이다. 항쟁의 마지막 날 광주를 빠져나온 시민수습위의 한 신부와 청년의 발길을 따라 광주의 이야기를 풀어낸다."
천사를 만난 바람,박성배 저,"어른들을 위한 동화 <천사를 만난 바람> 여러분은 바람을 본 적이 있나요? 나뭇 가지를 흔들고 지나간 자리에서, 강물이 스치고 지나간 자리에서, 또는 꽃잎을 살짝 떨구고 가는 자리에서 그 흔적을 느낄 뿐이죠? 그저 한 줄기 바람에 지나지 않았던 바람 하나가 생각과 감정을 갖게 되었다면요? 떨어지는 장미 꽃잎 하나에도 가슴 아파하고 혼자 있는 것이 외로운, 정말이지 못 견딜만큼 괴로운 바람 하나가 여러분 곁을 찾아갑니다. 지금 바로 여러분의 옷자락에 바람이 느껴질 거예요."
